Project Name,Test Function,Smell Type
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Correctly_Translates_IAircraft_Into_AircraftJson,MagicNumber
vradarserver@vrs,JsonExample<>Responder_SendAudio_Throws_If_Response_Is_Null,MagicNumber
vradarserver@vrs,GreatCircleMathsTests<>GreatCircleMaths_Bearing_Calculates_Correct_Bearing,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_UpsertAndRefresh_Does_Refresh,MagicNumber
dioram@Elektronik-Tools-2.0,ParsingTests<>MessageDataHeaderTest,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatObservablePropertyTest<>SetDataInDisabledEmitWhenReenabled,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatMeanFinderTest<>TransformUnordered,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_MaxParameters_Returns_Correct_Value_When_Connected,MagicNumber
vradarserver@vrs,SimpleAircraftListTests<>SimpleAircraftList_TakeSnapshot_Fills_DataVersion_With_Latest_DataVersion_From_Aircraft,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_IcaoReport_Passes_Single_Aircraft_To_Get_Count_Of_Rows,MagicNumber
vradarserver@vrs,ObservableClass<>ListBindingList_ListChanged_Not_Raised_If_Old_Observable_Object_Changes_After_Replace,MagicNumber
vradarserver@vrs,AutoConfigWebServerTests<>AutoConfigWebServer_Initialise_Applies_Configuration_Settings_To_WebServer,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>InsertAtCurrentIndex,MagicNumber
vradarserver@vrs,ServerReceiverJsonTests<>ServerReceiverJson_ToModel_MergedFeed_Returns_Model_Based_On_MergedFeed,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,TextEditorBackspaceDelete<>TextEditorWithUTF16_RightCursorOnBackspaceAndLeftSurrogate_RemovesBothSurrogates,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatActionLiveMock<>ResetToDefaultValue,MagicNumber
vradarserver@vrs,TestFileInfo<>DirectoryCache_CacheChanged_Raised_When_Heartbeat_Tick_Raised,MagicNumber
vradarserver@vrs,FeedsControllerTests<>FeedsController_AircraftList_Can_Specify_Browser_Location_V2_POST,MagicNumber
virtuallynaked@virtually-naked,QuaternionExtensionsTest<>TestAccurateAngle,MagicNumber
icosa-gallery@open-brush,TestListExtensions<>TestAddRange,MagicNumber
vradarserver@vrs,BaseStationMessageTests<>BaseStationMessage_ToString_Only_Shows_1_Decimal_Place_For_GroundSpeed,MagicNumber
gatosyocora@VRCPhotoAlbum,UsersTest<>DontDuplicateUserInUserList,MagicNumber
vradarserver@vrs,AutoConfigPictureFolderCacheTests<>AutoConfigPictureFolderCache_Initialise_Raises_CacheConfiguration_Changed,MagicNumber
ExtendRealityLtd@Zinnia.Unity,Vector3ToFloatTest<>TransformExtractMagnitude,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatObservablePropertyTest<>SetData,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>RemoveFromCountInactiveGameObject,MagicNumber
watson-developer-cloud@unity-sdk,TextToSpeechV1IntegrationTests<>TestAddCustomPrompts,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatEventProxyEmitterTest<>ReceiveInactiveGameObject,MagicNumber
icosa-gallery@open-brush,TestColorPicker<>TestColorPickerRoundTripFromColor,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSystemEvents_Throws_If_Writes_Disabled,MagicNumber
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>TestListCollections,MagicNumber
virtuallynaked@virtually-naked,BoneTest<>TestGradientOfTransformedPointWithRespectToRotation,MagicNumber
ExtendRealityLtd@Zinnia.Unity,BooleanActionLiveMock<>ClearSources,MagicNumber
tterpi@VRSketchingGeometry,GroupSerializationTest<>ApplyData_ChildGroup,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,ScrollRectTests<>GetBoundsShouldEncapsulateAllCorners,MagicNumber
vradarserver@vrs,NewVersionCheckerTests<>NewVersionChecker_CheckForNewVersion_Raises_NewVersionAvailable_When_Appropriate,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_UpsertRange_Does_Not_Refresh,MagicNumber
vradarserver@vrs,LogDatabaseTests<>LogDatabase_EstablishSession_Writes_Session_Record_In_Different_Cultures,MagicNumber
vradarserver@vrs,AdsbTranslatorTests<>AdsbTranslator_Translate_Decodes_Identification_Correctly,MagicNumber
watson-developer-cloud@unity-sdk,SpeechToTextV1IntegrationTests<>WaitForCorpus2,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatActionLiveMock<>ResetToInitialValue,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_IcaoReport_Returns_Count_Of_Rows_Matching_Criteria,MagicNumber
tterpi@VRSketchingGeometry,LineSketchObjectCommandsTest<>AddMultipleControlPointsWithCommandUndo,MagicNumber
ExtendRealityLtd@Zinnia.Unity,StringToFloatTest<>TransformInactiveGameObject,MagicNumber
willychang21@MapboxARGame,line<>DistanceInNauticalMiles,MagicNumber
willychang21@MapboxARGame,AngleSmoothingTest<>LowPass,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,TextEditorBackspaceDelete<>TextEditorWithUTF16_MiddleCursorOnBackspace_RemovesCharacter,MagicNumber
vradarserver@vrs,FeedsControllerTests<>FeedsController_AircraftList_Can_Specify_Browser_Location_V3,MagicNumber
vradarserver@vrs,RebroadcastServerManagerTests<>RebroadcastServerManager_ConfigurationChanged_Does_Not_Create_Servers_If_Feed_Does_Not_Exist,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Begins_Reading_Content_From_Connection_When_Connection_Established,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_ChangeSource_Does_Not_Dispose_Of_Existing_RawMessageTranslator_If_It_Has_Not_Changed,MagicNumber
hotbreakb@Capstone_Design,VectorTests<>Vector_Roll,MagicNumber
augcog@ISAACS_Interface,line<>DistanceInMiles,MagicNumber
watson-developer-cloud@unity-sdk,LanguageTranslatorServiceUnitTests<>TestListModels,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Ignores_Compressed_Port30003_Messages_That_Will_Not_Compress,MagicNumber
vradarserver@vrs,HashTests<>Hash_PasswordMatches_Throws_If_Passed_Null,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntCacheTest<>CacheChangedInactiveComponent,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,HorizontalLayoutGroupTests<>TestCalculateLayoutInputHorizontal,MagicNumber
vradarserver@vrs,TestProvider<>ConfigurationStorage_Erase_Deletes_Existing_Settings,MagicNumber
vradarserver@vrs,AircraftComparerTests<>AircraftComparer_Compare_Treats_Unknown_Sort_Columns_As_FirstSeen,MagicNumber
virtuallynaked@virtually-naked,QuaternionExtensionsTest<>TestRotateBetween,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatMaxFinderTest<>Transform,MagicNumber
dioram@Elektronik-Tools-2.0,DataRecorderSubscription<>SubscribeConnectableObservationCloudContainer,MagicNumber
immersivecognition@unity-experiment-framework,TestSessionBuilding<>CreateBlocks,MagicNumber
tterpi@VRSketchingGeometry,RibbonSketchObjectTest<>DeleteControlPointAndRotationCommand,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_RegistrationReport_Transcribes_Flights_From_Database_To_Json,MagicNumber
ExtendRealityLtd@Zinnia.Unity,NormalizedFloatToFloatTest<>TransformWithinBounds,MagicNumber
watson-developer-cloud@unity-sdk,AssistantV1IntegrationTests<>TestListCounterexamples,MagicNumber
ExtendRealityLtd@Zinnia.Unity,StraightLineCastMock<>IncrementFixedLength,MagicNumber
alvinquach@jpl-trek-vr,ScrollTransformerTests<>MapInputOutput_MappingA_CorrectResults,MagicNumber
vradarserver@vrs,RebroadcastServerManagerTests<>RebroadcastServerManager_Initialise_Sets_Connector_Correctly_For_Rebroadcast_Server,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Transmits_Port30003_Messages_From_Feed,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_FileNameChanging_Not_Raised_If_FileName_Does_Not_Change,MagicNumber
dioram@Elektronik-Tools-2.0,RecorderTests<>ObservationsTest,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Passes_Count_Of_Bytes_Read_To_Message_Extractor,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_IcaoReport_Returns_Details_Of_Exceptions_Raised_During_Report_Generation,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,ImageTests<>MinWidthHeightAreZeroWithImage,MagicNumber
CrispthoAlex@holbertonschool-unity,TestHistoryWindow<>CollabHistoryPresenter_OnUpdatePage__RevisionNumberingIsInOrder,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetDatabaseHistory_Retrieves_All_Records_In_DBHistory_Table,MagicNumber
willychang21@MapboxARGame,AverageHeadingAlignmentStrategyTests<>MeanAngleWithin180OfZero,MagicNumber
realitycollective@com.realitytoolkit.core,TestFixture_03_InputServiceTests<>Test01_CreateInputService,MagicNumber
vradarserver@vrs,NotPlugin<>PluginManager_Constructor_Initialises_To_Known_State_And_Properties_Work,MagicNumber
iamtomhewitt@jet-dash-vr,PlayerScoreTests<>ShouldDoublePoints,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteSession_Does_Nothing_If_File_Does_Not_Exist,MagicNumber
icosa-gallery@open-brush,TestRingBuffer<>TestGetRange,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>RemoveAt,MagicNumber
vradarserver@vrs,RawMessageTranslatorTests<>RawMessageTranslator_PositionReset_Raised_When_Initial_Position_Subsequently_Proved_Wrong,MagicNumber
tterpi@VRSketchingGeometry,LineSerializationTest<>ApplyData_ControlPoints,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_DateReport_Fills_Aircraft_HasPicture_Correctly,MagicNumber
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>StopPose_Empty,MagicNumber
vradarserver@vrs,ObservableClass<>NotifyList_ListChanged_Raised_If_Observable_Object_Changes_After_Add,MagicNumber
UMI3D@UMI3D-SDK,MultiBinding_Test<>Constuctor_OneBinding,MagicNumber
vradarserver@vrs,BeastMessageBytesExtractorTests<>BeastMessageBytesExtractor_ExtractMessageBytes_Does_Not_Perpetually_Grow,MagicNumber
vradarserver@vrs,AircraftListJsonMessageConverterTests<>AircraftListJsonMessageConverter_Deals_Correctly_With_Altitude_Types_From_Older_Versions_Of_VRS,MagicNumber
vradarserver@vrs,StandingDataManagerTests<>StandingDataManager_FindRoute_Returns_Stopovers,MagicNumber
vradarserver@vrs,AircraftControllerTests<>AircraftController_GetAddcThumbnails_Copes_If_AirportDataDotCom_Throws_Exception,MagicNumber
kurotu@VRCQuestTools,AvatarDynamicsTests<>TestEndpointPosition,MagicNumber
vradarserver@vrs,ObservableClass<>NotifyList_AddIndex_Is_Not_Implemented,MagicNumber
willychang21@MapboxARGame,AverageHeadingAlignmentStrategyTests<>MeanAngleFiveNinetys,MagicNumber
vradarserver@vrs,JsonExample<>Responder_SendBinary_Throws_If_Request_Is_Null,MagicNumber
augcog@ISAACS_Interface,MapMatcherTest<>Radiuses,MagicNumber
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>DeleteUnityCollections,MagicNumber
vradarserver@vrs,AircraftTests<>Aircraft_UpdateCoordinates_Updates_Trail_When_Altitude_Changes_And_Poisition_Does_Not,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_Will_Expire_Items_After_ExpireMilliseconds_Has_Passed,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntegerToFloatTest<>Transform,MagicNumber
vradarserver@vrs,EventHelperTests<>RaiseQuickly_Raises_Event,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,HorizontalLayoutGroupTests<>TestCalculateLayoutHorizontal,MagicNumber
vradarserver@vrs,FeedsControllerTests<>FeedsController_AircraftList_Can_Specify_Feed_V2_POST,MagicNumber
willychang21@MapboxARGame,MapMatcherTest<>NoSegment,MagicNumber
mattrdowney@planetaria,MiscellaneousTestScript<>MiscellaneousTestScriptSimplePasses,MagicNumber
vradarserver@vrs,ExpiringListTests<>ExpiringList_Add_Performs_Without_Surprises,MagicNumber
vradarserver@vrs,AircraftControllerTests<>AircraftController_GetAddcThumbnails_Returns_Error_If_Icao_Is_Missing,MagicNumber
vradarserver@vrs,CorsHandlerTests<>CorsHandler_Simple_Adds_Header_For_Safe_Methods,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Ignores_Extracted_Parity_On_Port30003_Messages,MagicNumber
willychang21@MapboxARGame,TileCoverTest<>Helsinki,MagicNumber
vradarserver@vrs,GeofenceCWH_Tests<>Ctor_Fills_Correct_Properties,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Dispose_Does_Not_Care_If_Feed_Is_Null,MagicNumber
vradarserver@vrs,LogDatabaseTests<>LogDatabase_FetchAll_Does_Nothing_If_Database_Is_Empty,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>SetAtEmptyCollection,MagicNumber
vimeo@vimeo-unity-sdk,VideoChunkTest<>Init_Works,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,TextEditorBackspaceDelete<>TextEditorWithUTF16_RightCursorOnDeleteAndLeftSurrogate_RemovesBothSurrogates,MagicNumber
watson-developer-cloud@unity-sdk,SpeechToTextV1IntegrationTests<>WaitForAudio,MagicNumber
vradarserver@vrs,JsonExample<>Responder_SendAudio_Copies_Audio_To_Response_Correctly,MagicNumber
ExtendRealityLtd@Zinnia.Unity,Vector2ToAngleTest<>TransformInactiveGameObject,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatSubtractorTest<>TransformInactiveGameObject,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Passes_Port30003_Messages_To_Port30003_Message_Translator,MagicNumber
virtuallynaked@virtually-naked,WicConverterTest<>TestThatFloat32ToUint8ConversionDoesChangeColorSpace,MagicNumber
vradarserver@vrs,LogDatabaseTests<>LogDatabase_EstablishSession_Writes_Client_Record_In_Different_Cultures,MagicNumber
virtuallynaked@virtually-naked,SwingTest<>TestCalculateApplyDeltaRoundtrip,MagicNumber
vradarserver@vrs,PlaneFinderMessageBytesExtractorTests<>PlaneFinderMessageBytesExtractor_ExtractMessageBytes_Does_Not_Perpetually_Grow,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,HorizontalLayoutGroupTests<>TestCalculateLayoutInputVertical,MagicNumber
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Returns_Correct_Aircraft_List_When_Explicit_Feed_Requested,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Does_Not_Transmit_Port30003_Messages_When_There_Are_No_Connections,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_AircraftListJson_Does_Not_Use_PreviousAircraftList_On_First_Connection,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_OnlineChanged_Not_Raised_If_Online_Not_Changed,MagicNumber
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Passes_False_IgnoreInvisibleFeeds_Parameter_To_FeedManager_When_Fetching_Source_Feed,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_FindAll_Does_Not_Refresh_Matching_Items,MagicNumber
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Sends_ShortAltitude_Trails_If_Requested,MagicNumber
vradarserver@vrs,RawMessageTranslatorTests<>RawMessageTranslator_Translate_TargetStateAndStatus_Fills_Target_Altitude_For_ADSB_2_Messages,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_UpsertRangeAndRefresh_Does_Refresh,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Uses_Extracted_SignalLevel_On_Port30003_Messages,MagicNumber
vradarserver@vrs,EventHelperTests<>Raise_Raises_Event,MagicNumber
mateo-a@holbertonschool-csharp,Tests<>MaxValue_With_SomeNegatives,MagicNumber
dioram@Elektronik,CollisionCloudTests<>Remove,MagicNumber
vradarserver@vrs,HashTests<>Hash_String_Throws_If_Text_Is_Null,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_RegistrationReport_Logs_Exceptions_Raised_During_Report_Generation,MagicNumber
vradarserver@vrs,PluginSettingsTests<>PluginSettings_Read_Write_Works_In_Different_Regions,MagicNumber
augcog@ISAACS_Interface,TileCoverTest<>Helsinki,MagicNumber
vradarserver@vrs,BeastMessageBytesExtractorTests<>BeastMessageBytesExtractor_ExtractMessageBytes_Ignores_Trash_At_End_Of_Buffer_In_Text_Mode,MagicNumber
tterpi@VRSketchingGeometry,RibbonSketchObjectTest<>AddOneControlPointAndRotationCommandRedo,MagicNumber
ExtendRealityLtd@Zinnia.Unity,BooleanToFloatTest<>TransformFalseCustomValue,MagicNumber
alvinquach@jpl-trek-vr,TextureUtilsTests<>ComputeMipmapDimensions_C_CorrectResults,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_DateReport_Adjusts_HasPicture_To_Suit_Configuration_Changes,MagicNumber
vradarserver@vrs,VectorVelocityTests<>VectorVelocity_Recalculates_When_Properties_Change,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntEventProxyEmitterTest<>Receive,MagicNumber
